         1.00    2.006104874055844
         2.00    2.006219462090323
         3.00    2.006410468816845
         4.00    2.006677934255769
         5.00    2.007021914469190
         6.00    2.007442481594522
         7.00    2.007939723887844
         8.00    2.008513745776920
         9.00    2.009164667924034
        10.00    2.009892627298736
        11.00    2.010697777260503
        12.00    2.011580287651560
        13.00    2.012540344899818
        14.00    2.013578152132201
        15.00    2.014693929298428
        16.00    2.015887913305425
        17.00    2.017160358162557
        18.00    2.018511535137880
        19.00    2.019941732925552
        20.00    2.021451257824710
        21.00    2.023040433930007
        22.00    2.024709603334027
        23.00    2.026459126341932
        24.00    2.028289381698567
        25.00    2.030200766828335
        26.00    2.032193698088205
        27.00    2.034268611034152
        28.00    2.036425960701453
        29.00    2.038666221899167
        30.00    2.040989889519271
        31.00    2.043397478860843
        32.00    2.045889525969778
        33.00    2.048466587994539
        34.00    2.051129243558415
        35.00    2.053878093148877
        36.00    2.056713759524580
        37.00    2.059636888140620
        38.00    2.062648147592713
        39.00    2.065748230080932
        40.00    2.068937851893739
